usoda,109092
Loka,108938
brati,108875
riba,108831
domačin,108808
kampanja,108746
slog,108650
pas,108633
Moskva,108371
Grčija,108342
poročanje,108323
Miha,108177
ples,108162
značilen,108136
P.,108095
srečen,108071
poseg,107978
šesti,107932
zanimanje,107885
nasvet,107860
infrastruktura,107854
korist,107798
slaviti,107683
Beograd,107645
prizadevati,107605
cm,107545
Matej,107464
prevoz,107390
test,107294
odstopiti,107240
nenavaden,107229
avtobus,107121
sprejemati,107017
most,106985
odpovedati,106984
ovira,106938
Washington,106892
jezero,106883
obletnica,106768
nafta,106749
pomanjkanje,106631
odlično,106471
vabiti,106395
podeliti,106379
ustanovitev,106358
C,106342
Domžale,106324
obleka,106268
označiti,106262
zahod,106253
suh,106198
češ,106156
zgraditi,106153
Trump,105769
vključiti,105728
mnogo,105638
množica,105610
bančen,105529
Jure,105421
Jesenice,105391
okoliščina,105373
predvidevati,105349
profesor,105267
tradicija,105192
okus,105053
pojasnjevati,105036
bivši,105033
prebivalstvo,104939
neposredno,104929
informacijski,104919
the,104899
medijski,104871
prenesti,104835
poklic,104462
mrtev,104370
umor,104250
direktorica,104205
Rus,104189
kos,104152
t.,104132
videz,104110
kartica,104045
programski,104007
civilen,103973
čelo,103966
trd,103926
protest,103832
dvom,103773
vstopiti,103592
metoda,103417
izogniti,103354
resno,103307
demokracija,103219
stena,103143
alkohol,103094
institucija,102999
četrtina,102904
postavljati,102847
Maja,102737
streha,102715
kolesar,102607
prehrana,102326
lastnost,102287
krajeven,102257
včerajšnji,102215
avtomobilski,102181
plačevati,102171
presenečenje,102169
Kitajska,102115
predpis,102101
investicija,101985
postajati,101918
izraz,101782
zmoči,101674
deklica,101599
dokaj,101570
rumen,101540
Alenka,101493
obetati,101481
svetovati,101456
sanja,101438
tip,101311
glasbenik,101253
pomisliti,101187
dvajset,101132
dediščina,101093
komentar,101061
glasovanje,101047
liter,101027
pojavljati,100964
vidik,100916
natančen,100894
hladen,100884
Dunaj,100759
nekako,100712
turist,100698
prst,100641
poklicen,100636
požar,100478
posneti,100380
celica,100357
skrivnost,100302
Tina,100273
sprejem,100158
Sava,100122
postelja,100093
kam,100065
oglas,100032
znamenje,99928
SD,99859
izdelati,99718
porabiti,99718
preveriti,99602
pisanje,99543
motiti,99405
letalski,99395
teža,99351
prizorišče,99248
posvetiti,99159
roman,99133
pristop,99086
miren,99083
pivovarna,99029
soglasje,98903
Cerar,98891
John,98764
sosed,98710
novela,98594
dijak,98592
likoven,98592
nujno,98525
Boštjan,98513
telefonski,98508
gorivo,98463
odrasel,98459
gorenjski,98385
nedeljski,98365
nasproten,98350
obvestiti,98349
preizkušnja,98280
kuhinja,98244
plesen,98181
sedmi,98107
navesti,98061
začasen,98040
vojen,98032
določba,97955
pevec,97917
počitnice,97890
prepričanje,97888
spregovoriti,97885
zbirati,97797
odvetnik,97769
ležati,97646
i.,97528
gledališki,97393
duša,97313
ljubitelj,97308
pijača,97300
AFP,97187
pristati,97068
opravljen,97002
Gradec,96982
merilo,96973
zaupanje,96887
založba,96775
ponudnik,96649
občinstvo,96641
jedrski,96629
uvesti,96619
Italijan,96497
ogenj,96402
zasesti,96348
redno,96274
upanje,96149
zaščiten,96138
uvedba,96086
prijeti,96081
zaslon,96064
izjema,95907
spustiti,95817
kamor,95765
Mercator,95577
Zoran,95536
očitati,95520
letnica,95482
met,95427
centralen,95337
računalniški,95325
navada,95316
lista,95305
rasti,95300
obstoječ,95273
odgovarjati,95222
poškodovati,95195
blok,95145
študentski,95117
